    Threshold  Precision    Recall  F1 Score
0    0.000000   0.016710  1.000000  0.032870
1    0.020408   0.019916  0.964286  0.039027
2    0.040816   0.024407  0.857143  0.047462
3    0.061224   0.030189  0.761905  0.058076
4    0.081633   0.038893  0.702381  0.073704
5    0.102041   0.048387  0.642857  0.090000
6    0.122449   0.061481  0.583333  0.111237
7    0.142857   0.076175  0.559524  0.134094
8    0.163265   0.089362  0.500000  0.151625
9    0.183673   0.109244  0.464286  0.176871
10   0.204082   0.130282  0.440476  0.201087
11   0.224490   0.145374  0.392857  0.212219
12   0.244898   0.175824  0.380952  0.240602
13   0.265306   0.209150  0.380952  0.270042
14   0.285714   0.238462  0.369048  0.289720
15   0.306122   0.256637  0.345238  0.294416
16   0.326531   0.274510  0.333333  0.301075
17   0.346939   0.301075  0.333333  0.316384
18   0.367347   0.298851  0.309524  0.304094
19   0.387755   0.325000  0.309524  0.317073
20   0.408163   0.320513  0.297619  0.308642
21   0.428571   0.342466  0.297619  0.318471
22   0.448980   0.378788  0.297619  0.333333
23   0.469388   0.387097  0.285714  0.328767
24   0.489796   0.403509  0.273810  0.326241
25   0.510204   0.416667  0.238095  0.303030
26   0.530612   0.434783  0.238095  0.307692
27   0.551020   0.447368  0.202381  0.278689
28   0.571429   0.457143  0.190476  0.268908
29   0.591837   0.454545  0.178571  0.256410
30   0.612245   0.517241  0.178571  0.265487
31   0.632653   0.565217  0.154762  0.242991
32   0.653061   0.600000  0.142857  0.230769
33   0.673469   0.555556  0.119048  0.196078
34   0.693878   0.625000  0.119048  0.200000
35   0.714286   0.714286  0.119048  0.204082
36   0.734694   0.692308  0.107143  0.185567
37   0.755102   0.700000  0.083333  0.148936
38   0.775510   0.666667  0.047619  0.088889
39   0.795918   0.500000  0.011905  0.023256
40   0.816327   1.000000  0.011905  0.023529
41   0.836735   0.000000  0.000000  0.000000
42   0.857143   0.000000  0.000000  0.000000
43   0.877551   0.000000  0.000000  0.000000
44   0.897959   0.000000  0.000000  0.000000
45   0.918367   0.000000  0.000000  0.000000
46   0.938776   0.000000  0.000000  0.000000
47   0.959184   0.000000  0.000000  0.000000
48   0.979592   0.000000  0.000000  0.000000
49   1.000000   0.000000  0.000000  0.000000
