Column,Data_Type,Missing_Values,Missing_Percentage,Unique_Values
INCOME_TYPE,object,12,0.048,6
YEARS_EMPLOYED,float64,9,0.036,44
FAMILY SIZE,float64,1,0.004,11
ID,int64,0,0.0,25134
INCOME,float64,0,0.0,195
BEGIN_MONTH,int64,0,0.0,61
AGE,int64,0,0.0,50
NO_OF_CHILD,int64,0,0.0,9
HOUSE_TYPE,object,0,0.0,6
FAMILY_TYPE,object,0,0.0,5
EDUCATION_TYPE,object,0,0.0,5
GENDER,object,0,0.0,2
CAR,object,0,0.0,2
REALITY,object,0,0.0,2
WORK_PHONE,int64,0,0.0,2
PHONE,int64,0,0.0,2
E_MAIL,int64,0,0.0,2
TARGET,int64,0,0.0,2
FLAG_MOBIL,int64,0,0.0,1
