Feature,Importance
num__BEGIN_MONTH,0.17476842585996194
num__AGE,0.12204829058931602
num__YEARS_EMPLOYED,0.11075840816297486
num__INCOME_PER_FAMILY_MEMBER,0.1044118377731923
num__INCOME,0.09307172614273652
num__FAMILY SIZE,0.030308319534907077
num__HAS_CONTACT_INFO,0.02986634391738964
num__NO_OF_CHILD,0.02442219491447033
num__PHONE,0.017771984723705135
cat__INCOME_TYPE_Working,0.017357293031697866
cat__INCOME_TYPE_Commercial associate,0.017010378505361065
num__WORK_PHONE,0.016577887851903964
cat__CAR_N,0.016495964961104607
cat__CAR_Y,0.016377481232067316
cat__GENDER_F,0.016045754926000574
cat__EDUCATION_TYPE_Secondary / secondary special,0.015891876346404408
cat__GENDER_M,0.015747243351311394
cat__EDUCATION_TYPE_Higher education,0.01520196535452482
cat__REALITY_N,0.014745107964267425
cat__REALITY_Y,0.013872772436078347
cat__FAMILY_TYPE_Married,0.013097087352810373
cat__FAMILY_TYPE_Single / not married,0.011735589878275606
cat__HOUSE_TYPE_House / apartment,0.011181944708233749
cat__INCOME_TYPE_State servant,0.010269635284939715
cat__INCOME_TYPE_Pensioner,0.009954827262272429
num__E_MAIL,0.009591377620600519
cat__FAMILY_TYPE_Civil marriage,0.008489348519043718
cat__HOUSE_TYPE_With parents,0.00731849383190956
num__IS_LARGE_FAMILY,0.007037086358306935
cat__FAMILY_TYPE_Separated,0.006332446294207585
cat__HOUSE_TYPE_Municipal apartment,0.005425605526768496
cat__EDUCATION_TYPE_Incomplete higher,0.005115396336286168
cat__FAMILY_TYPE_Widow,0.003426150067821767
cat__EDUCATION_TYPE_Lower secondary,0.003013770368798258
cat__HOUSE_TYPE_Rented apartment,0.002783641977266289
cat__HOUSE_TYPE_Office apartment,0.0015363840361332537
cat__HOUSE_TYPE_Co-op apartment,0.0008994570649480592
cat__INCOME_TYPE_Student,2.203724940663192e-05
cat__EDUCATION_TYPE_Academic degree,1.846268259523804e-05
